## 1 - Global Brands,,,,,
Region,Industry,Name,YouTube URL,Channel ID,Fetch Method
Global,Technology,Apple,https://www.youtube.com/@Apple,UCE_M8A5yxnLfW0KghEeajjw,YouTube RSS
Global,Technology,Spotify,https://www.youtube.com/@Spotify,UCRMqQWxCWE0VMvtUElm-rEA,YouTube RSS
Global,Technology,Uber,https://www.youtube.com/@Uber,UCgnxoUwDmmyzeigmmcf0hZA,YouTube RSS
Global,Technology,Uber Eats,https://www.youtube.com/@UberEats,UC1xnncYc7586km_rIYQLtLQ,YouTube RSS
Global,Food & Beverage,Coca-Cola,https://www.youtube.com/@Coca-Cola,UCosXctaTYxN4YPIvI5Fpcrw,YouTube RSS
Global,Food & Beverage,McDonald's,https://www.youtube.com/@McDonalds,UCRI5ZedBs0_BYY4PlxD6m7w,YouTube RSS
Global,Food & Beverage,BURGER KING,https://www.youtube.com/@BurgerKing,UC23ZqC2LTzl7dfOi6EmwJhg,YouTube RSS
Global,Food & Beverage,OREO Cookie,https://www.youtube.com/@Oreo,UCYrx7f8QvhZKKh7a0815UuA,YouTube RSS
Global,Food & Beverage,Cheetos,https://www.youtube.com/@cheetos,UCUnC4wPTiAmMypWHXGwqh-Q,YouTube RSS
Global,Food & Beverage,Doritos,https://www.youtube.com/@doritos,UCGTGlZDAATNAAXINMLj4jgw,YouTube RSS
Global,Sport,Nike,https://www.youtube.com/@Nike,UCUFgkRb0ZHc4Rpq15VRCICA,YouTube RSS
Global,Sport,adidas,https://www.youtube.com/@adidas,UCuLUOxd7ezJ8c6NSLBNRRfg,YouTube RSS
Global,Fashion,Cartier,https://www.youtube.com/@Cartier,UCu16y62LPCwTknfV5_7Zalg,YouTube RSS
Global,Fashion,LOEWE,https://www.youtube.com/@LOEWE,UCIkFEXV_zvjOlmOcKEHW_hg,YouTube RSS
Global,Fashion,Louis Vuitton,https://www.youtube.com/@LouisVuitton,UC5q0PIKGr2lGOsiT14AlEYg,YouTube RSS
Global,Fashion,Hermès,https://www.youtube.com/@Hermes,UCmFOnqrNg-YHLXfdB3GexBg,YouTube RSS
Global,Fashion,GUCCI,https://www.youtube.com/@GUCCI,UCo6fjlKg6GuCmEMeqYbGJng,YouTube RSS
